"","Project Name","Address","No. of Units","Area (sqm)","Type of Area","Transacted Price ($)","Nett Price($)","Unit Price ($ psm)","Unit Price ($ psf)","Sale Date","Property Type","Tenure","Completion Date","Type of Sale","Purchaser Address Indicator","Postal District","Postal Sector","Postal Code","Planning Region","Planning Area","country","city"
"3532","PARC CANBERRA","7 Canberra Walk  #02-16",1,93,"Strata",1154000,"-",12409,1153,"10-JUN-2020","Executive Condominium","99 Yrs From 10/12/2018","Uncompleted","New Sale","N.A","27","75","757066","North Region","Sembawang","Singapore","Singapore"
"3533","J GATEWAY","2 Gateway Drive  #15-02",1,83,"Strata",1400000,"-",16867,1567,"09-JUN-2020","Condominium","99 Yrs From 28/08/2012","2016","Resale","Private","22","60","608533","West Region","Jurong East","Singapore","Singapore"
"3534","HOLLAND PEAK","23 Holland Hill  #B1-11",1,171,"Strata",2715000,"-",15877,1475,"09-JUN-2020","Condominium","Freehold","1994","Resale","Private","10","27","278739","Central Region","Bukit Timah","Singapore","Singapore"
"3535","GRANDEUR PARK RESIDENCES","5 Bedok South Avenue 3  #07-23",1,135,"Strata",2270000,"-",16815,1562,"09-JUN-2020","Condominium","99 Yrs From 25/05/2016","Uncompleted","New Sale","N.A","16","46","465463","East Region","Bedok","Singapore","Singapore"
"3536","GRANDEUR PARK RESIDENCES","9 Bedok South Avenue 3  #01-40",1,115,"Strata",1946340,"-",16925,1572,"09-JUN-2020","Condominium","99 Yrs From 25/05/2016","Uncompleted","New Sale","N.A","16","46","465465","East Region","Bedok","Singapore","Singapore"
"3537","JADESCAPE","10 Shunfu Road  #12-35",1,71,"Strata",1406300,"-",19807,1840,"09-JUN-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","HDB","20","57","575746","Central Region","Bishan","Singapore","Singapore"
"3538","THE TAPESTRY","57 Tampines Street 86  #05-29",1,86,"Strata",1225900,"-",14255,1324,"09-JUN-2020","Condominium","99 Yrs From 31/07/2017","Uncompleted","New Sale","N.A","18","52","528542","East Region","Tampines","Singapore","Singapore"
"3539","J GATEWAY","6 Gateway Drive  #03-19",1,63,"Strata",1060000,"-",16825,1563,"09-JUN-2020","Condominium","99 Yrs From 28/08/2012","2016","Resale","Private","22","60","608535","West Region","Jurong East","Singapore","Singapore"
"3540","TREASURE AT TAMPINES","49 Tampines Lane  #10-168",1,63,"Strata",935000,"-",14841,1379,"09-JUN-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528461","East Region","Tampines","Singapore","Singapore"
"3541","BLOSSOM RESIDENCES","34 Segar Road  #09-25",1,98,"Strata",915000,"-",9337,867,"09-JUN-2020","Executive Condominium","99 Yrs From 02/03/2011","2014","Resale","HDB","23","67","677723","West Region","Bukit Panjang","Singapore","Singapore"
"3542","THE JOVELL","15 Flora Drive  #06-17",1,96,"Strata",1235000,"-",12865,1195,"09-JUN-2020","Condominium","99 Yrs From 08/03/2018","Uncompleted","New Sale","Private","17","50","506854","East Region","Pasir Ris","Singapore","Singapore"
"3543","JADESCAPE","16 Shunfu Road  #14-57",1,49,"Strata",936800,"-",19118,1776,"09-JUN-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575749","Central Region","Bishan","Singapore","Singapore"
"3544","JADESCAPE","2 Shunfu Road  #10-09",1,71,"Strata",1342000,"-",18901,1756,"09-JUN-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575742","Central Region","Bishan","Singapore","Singapore"
"3545","JADESCAPE","4 Shunfu Road  #21-11",1,98,"Strata",1862500,"-",19005,1766,"09-JUN-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575743","Central Region","Bishan","Singapore","Singapore"
"3546","JADESCAPE","4 Shunfu Road  #22-11",1,98,"Strata",1871000,"-",19092,1774,"09-JUN-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575743","Central Region","Bishan","Singapore","Singapore"
"3547","TREASURE AT TAMPINES","49 Tampines Lane  #02-167",1,85,"Strata",1124000,"-",13224,1228,"09-JUN-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528461","East Region","Tampines","Singapore","Singapore"
"3548","ECO","283 Bedok South Avenue 3  #01-52",1,62,"Strata",710000,"-",11452,1064,"09-JUN-2020","Condominium","99 Yrs From 14/05/2012","2017","Resale","Private","16","46","465460","East Region","Bedok","Singapore","Singapore"
"3549","TREASURE AT TAMPINES","15 Tampines Lane  #04-57",1,119,"Strata",1634000,"-",13731,1276,"09-JUN-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528478","East Region","Tampines","Singapore","Singapore"
"3550","HILLINGTON GREEN","57 Hillview Avenue  #01-05",1,179,"Strata",1880000,"-",10503,976,"09-JUN-2020","Condominium","999 Yrs From 19/05/1883","2002","Resale","Private","23","66","669568","West Region","Bukit Batok","Singapore","Singapore"
"3551","TREASURE AT TAMPINES","47 Tampines Lane  #06-157",1,63,"Strata",966000,"-",15333,1425,"09-JUN-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","HDB","18","52","528462","East Region","Tampines","Singapore","Singapore"
"3552","FERRARIA PARK CONDOMINIUM","18 Flora Drive  #01-30",1,115,"Strata",998888,"-",8686,807,"09-JUN-2020","Condominium","Freehold","2009","Resale","Private","17","50","506946","East Region","Pasir Ris","Singapore","Singapore"
"3553","HEDGES PARK CONDOMINIUM","87 Flora Drive  #02-62",1,94,"Strata",9e+05,"-",9574,889,"09-JUN-2020","Condominium","99 Yrs From 28/07/2010","2015","Resale","Private","17","50","506889","East Region","Pasir Ris","Singapore","Singapore"
"3554","THE TAPESTRY","51 Tampines Street 86  #15-03",1,56,"Strata",750300,"-",13398,1245,"09-JUN-2020","Condominium","99 Yrs From 31/07/2017","Uncompleted","New Sale","N.A","18","52","528539","East Region","Tampines","Singapore","Singapore"
"3555","HOLLAND HILL PARK","7A Holland Hill  #04-09",1,136,"Strata",2200000,"-",16176,1503,"08-JUN-2020","Condominium","Freehold","1992","Resale","Private","10","27","278732","Central Region","Bukit Timah","Singapore","Singapore"
"3556","DAINTREE RESIDENCE","11H Toh Tuck Road  #05-41",1,67,"Strata",1218230,"-",18183,1689,"08-JUN-2020","Condominium","99 Yrs From 17/07/2017","Uncompleted","New Sale","N.A","21","59","596130","Central Region","Bukit Timah","Singapore","Singapore"
"3557","MARTIN MODERN","8 Martin Place  #24-06",1,71,"Strata",2064700,"-",29080,2702,"08-JUN-2020","Condominium","99 Yrs From 28/09/2016","Uncompleted","New Sale","Private","09","23","237992","Central Region","River Valley","Singapore","Singapore"
"3558","THE SANTORINI","21 Tampines Street 86  #08-01",1,68,"Strata",806000,"-",11853,1101,"08-JUN-2020","Condominium","99 Yrs From 16/10/2013","2017","Resale","Private","18","52","528592","East Region","Tampines","Singapore","Singapore"
"3559","CAIRNHILL CREST","8 Cairnhill Circle  #06-11",1,112,"Strata",2400000,"-",21429,1991,"08-JUN-2020","Condominium","Freehold","2004","Resale","Private","09","22","229814","Central Region","Newton","Singapore","Singapore"
"3560","REFLECTIONS AT KEPPEL BAY","1 Keppel Bay View  #01-03",1,158,"Strata",2708860,"-",17145,1593,"08-JUN-2020","Condominium","99 Yrs From 15/03/2006","2011","Resale","Private","04","09","098402","Central Region","Bukit Merah","Singapore","Singapore"
"3561","THE LAKEFRONT RESIDENCES","48 Lakeside Drive  #11-37",1,71,"Strata",980000,"-",13803,1282,"08-JUN-2020","Condominium","99 Yrs From 03/08/2010","2014","Resale","HDB","22","64","648305","West Region","Jurong West","Singapore","Singapore"
"3562","THE TAMPINES TRILLIANT","27 Tampines Central 7  #14-35",1,105,"Strata",1150000,"-",10952,1018,"08-JUN-2020","Executive Condominium","99 Yrs From 13/07/2011","2015","Resale","HDB","18","52","528611","East Region","Tampines","Singapore","Singapore"
"3563","THE TAPESTRY","61 Tampines Street 86  #15-46",1,41,"Strata",699460,"-",17060,1585,"08-JUN-2020","Condominium","99 Yrs From 31/07/2017","Uncompleted","New Sale","N.A","18","52","528510","East Region","Tampines","Singapore","Singapore"
"3564","JADESCAPE","4 Shunfu Road  #02-11",1,94,"Strata",1714700,"-",18241,1695,"08-JUN-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575743","Central Region","Bishan","Singapore","Singapore"
"3565","THE METROPOLITAN CONDOMINIUM","8 Alexandra View  #40-07",1,130,"Strata",2200000,"-",16923,1572,"08-JUN-2020","Condominium","99 Yrs From 17/02/2006","2009","Resale","Private","03","15","158747","Central Region","Bukit Merah","Singapore","Singapore"
"3566","MONT BOTANIK RESIDENCE","2K Jalan Remaja  #06-01",1,72,"Strata",1258000,"-",17472,1623,"08-JUN-2020","Condominium","Freehold","Uncompleted","New Sale","N.A","23","66","668728","West Region","Bukit Batok","Singapore","Singapore"
"3567","THE TRE VER","66 Potong Pasir Avenue 1  #11-30",1,102,"Strata",1730000,"-",16961,1576,"08-JUN-2020","Condominium","99 Yrs From 27/03/2018","Uncompleted","New Sale","N.A","13","35","358394","Central Region","Toa Payoh","Singapore","Singapore"
"3568","WATERFRONT WAVES","760 Bedok Reservoir Road  #06-02",1,146,"Strata",1650000,"-",11301,1050,"08-JUN-2020","Condominium","99 Yrs From 31/10/2007","2011","Resale","Private","16","47","479245","East Region","Bedok","Singapore","Singapore"
"3569","AMBER PARK","18A Amber Gardens  #03-30",1,69,"Strata",1790910,"-",25955,2411,"08-JUN-2020","Condominium","Freehold","Uncompleted","New Sale","Private","15","43","439981","Central Region","Marine Parade","Singapore","Singapore"
"3570","ROYALGREEN","6B Anamalai Avenue  #05-53",1,100,"Strata",3e+06,"-",30000,2787,"08-JUN-2020","Condominium","Freehold","Uncompleted","New Sale","N.A","10","27","279996","Central Region","Bukit Timah","Singapore","Singapore"
"3571","SANT RITZ","1 Pheng Geck Avenue  #16-23",1,49,"Strata",730000,"-",14898,1384,"08-JUN-2020","Condominium","99 Yrs From 01/10/2012","2016","Resale","Private","13","34","348196","Central Region","Toa Payoh","Singapore","Singapore"
"3572","TWIN WATERFALLS","102 Punggol Walk  #05-06",1,85,"Strata",880000,"-",10353,962,"08-JUN-2020","Executive Condominium","99 Yrs From 05/10/2011","2015","Resale","Private","19","82","828791","North East Region","Punggol","Singapore","Singapore"
"3573","DAINTREE RESIDENCE","11C Toh Tuck Road  #01-13",1,69,"Strata",1226520,"-",17776,1651,"08-JUN-2020","Condominium","99 Yrs From 17/07/2017","Uncompleted","New Sale","N.A","21","59","596159","Central Region","Bukit Timah","Singapore","Singapore"
"3574","TWIN WATERFALLS","108 Punggol Walk  #16-17",1,115,"Strata",1260000,"-",10957,1018,"08-JUN-2020","Executive Condominium","99 Yrs From 05/10/2011","2015","Resale","Private","19","82","828764","North East Region","Punggol","Singapore","Singapore"
"3575","PIERMONT GRAND","32 Sumang Walk  #15-24",1,81,"Strata",996300,"-",12300,1143,"07-JUN-2020","Executive Condominium","99 Yrs From 04/06/2018","Uncompleted","New Sale","Private","19","82","828621","North East Region","Punggol","Singapore","Singapore"
"3576","JADESCAPE","8 Shunfu Road  #10-32",1,132,"Strata",2361200,"-",17888,1662,"07-JUN-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575745","Central Region","Bishan","Singapore","Singapore"
"3577","JADESCAPE","8 Shunfu Road  #09-32",1,132,"Strata",2350000,"-",17803,1654,"07-JUN-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","Private","20","57","575745","Central Region","Bishan","Singapore","Singapore"
"3578","TREASURE AT TAMPINES","49 Tampines Lane  #07-170",1,96,"Strata",1337000,"-",13927,1294,"07-JUN-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528461","East Region","Tampines","Singapore","Singapore"
"3579","PARC CANBERRA","17 Canberra Walk  #08-34",1,88,"Strata",1047000,"-",11898,1105,"07-JUN-2020","Executive Condominium","99 Yrs From 10/12/2018","Uncompleted","New Sale","HDB","27","75","756949","North Region","Sembawang","Singapore","Singapore"
"3580","TREASURE AT TAMPINES","3 Tampines Lane  #11-10",1,94,"Strata",1405000,"-",14947,1389,"07-JUN-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528483","East Region","Tampines","Singapore","Singapore"
"3581","MAYFAIR MODERN","2 Rifle Range Road  #06-09",1,48,"Strata",998000,"-",20792,1932,"07-JUN-2020","Condominium","99 Yrs From 18/09/2018","Uncompleted","New Sale","N.A","21","58","588373","Central Region","Bukit Timah","Singapore","Singapore"
"3582","THE TAPESTRY","53 Tampines Street 86  #14-20",1,92,"Strata",1281420,"-",13928,1294,"06-JUN-2020","Condominium","99 Yrs From 31/07/2017","Uncompleted","New Sale","N.A","18","52","528540","East Region","Tampines","Singapore","Singapore"
"3583","TREASURE AT TAMPINES","9 Tampines Lane  #03-34",1,85,"Strata",1230000,"-",14471,1344,"06-JUN-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528481","East Region","Tampines","Singapore","Singapore"
"3584","TREASURE AT TAMPINES","27 Tampines Lane  #07-92",1,115,"Strata",1672000,"-",14539,1351,"06-JUN-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528472","East Region","Tampines","Singapore","Singapore"
"3585","TREASURE AT TAMPINES","43 Tampines Lane  #10-147",1,115,"Strata",1588000,"-",13809,1283,"06-JUN-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528464","East Region","Tampines","Singapore","Singapore"
"3586","PARC CANBERRA","15 Canberra Walk  #11-32",1,111,"Strata",1235000,"-",11126,1034,"06-JUN-2020","Executive Condominium","99 Yrs From 10/12/2018","Uncompleted","New Sale","HDB","27","75","756948","North Region","Sembawang","Singapore","Singapore"
"3587","TREASURE AT TAMPINES","39 Tampines Lane  #12-129",1,63,"Strata",945000,"-",15000,1394,"06-JUN-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528466","East Region","Tampines","Singapore","Singapore"
"3588","TREASURE AT TAMPINES","3 Tampines Lane  #02-10",1,94,"Strata",1338000,"-",14234,1322,"06-JUN-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528483","East Region","Tampines","Singapore","Singapore"
"3589","PIERMONT GRAND","44 Sumang Walk  #11-47",1,78,"Strata",947700,"-",12150,1129,"05-JUN-2020","Executive Condominium","99 Yrs From 04/06/2018","Uncompleted","New Sale","HDB","19","82","828627","North East Region","Punggol","Singapore","Singapore"
"3590","OLA","80 Anchorvale Crescent  #11-23",1,72,"Strata",937000,"-",13014,1209,"05-JUN-2020","Executive Condominium","99 Yrs From 14/12/2018","Uncompleted","New Sale","HDB","19","54","544558","North East Region","Sengkang","Singapore","Singapore"
"3591","TREASURE AT TAMPINES","15 Tampines Lane  #09-57",1,119,"Strata",1677000,"-",14092,1309,"05-JUN-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528478","East Region","Tampines","Singapore","Singapore"
"3592","ARCHIPELAGO","523 Bedok Reservoir Road  #05-81",1,133,"Strata",1565000,"-",11767,1093,"05-JUN-2020","Condominium","99 Yrs From 01/06/2011","2015","Resale","HDB","16","47","479278","East Region","Bedok","Singapore","Singapore"
"3593","THE NAUTICAL","95 Jalan Sendudok  #03-55",1,82,"Strata",850000,"-",10366,963,"05-JUN-2020","Condominium","99 Yrs From 29/08/2011","2015","Resale","Private","27","76","769473","North Region","Sembawang","Singapore","Singapore"
"3594","THE EDEN AT TAMPINES","35 Tampines Street 34  #03-40",1,126,"Strata",1035000,"-",8214,763,"05-JUN-2020","Executive Condominium","99 Yrs From 12/09/2000","2003","Resale","Private","18","52","529239","East Region","Tampines","Singapore","Singapore"
"3595","RIVERPARC RESIDENCE","96 Punggol Drive  #09-14",1,92,"Strata",862000,"-",9370,870,"05-JUN-2020","Executive Condominium","99 Yrs From 27/12/2010","2014","Resale","Private","19","82","828797","North East Region","Punggol","Singapore","Singapore"
"3596","THE COAST AT SENTOSA COVE","278 Ocean Drive  #05-22",1,191,"Strata",3300000,"-",17277,1605,"05-JUN-2020","Condominium","99 Yrs From 11/04/2006","2009","Resale","Private","04","09","098450","Central Region","Southern Islands","Singapore","Singapore"
"3597","PALM GARDENS","2D Hong San Walk  #03-01",1,112,"Strata",860000,"-",7679,713,"05-JUN-2020","Condominium","99 Yrs From 12/08/1996","2000","Resale","Private","23","68","689050","West Region","Choa Chu Kang","Singapore","Singapore"
"3598","THE TAMPINES TRILLIANT","33 Tampines Central 7  #08-45",1,105,"Strata",1240000,"-",11810,1097,"05-JUN-2020","Executive Condominium","99 Yrs From 13/07/2011","2015","Resale","HDB","18","52","528614","East Region","Tampines","Singapore","Singapore"
"3599","TREASURE AT TAMPINES","17 Tampines Lane  #02-69",1,96,"Strata",1366000,"-",14229,1322,"05-JUN-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528477","East Region","Tampines","Singapore","Singapore"
"3600","TWIN WATERFALLS","118 Punggol Walk  #07-40",1,104,"Strata",1135000,"-",10913,1014,"05-JUN-2020","Executive Condominium","99 Yrs From 05/10/2011","2015","Resale","HDB","19","82","828769","North East Region","Punggol","Singapore","Singapore"
"3601","EASTERN LAGOON","214 Upper East Coast Road  #03-02",1,74,"Strata",855000,"-",11554,1073,"05-JUN-2020","Condominium","Freehold","1985","Resale","Private","16","46","466402","East Region","Bedok","Singapore","Singapore"
"3602","THE JOVELL","15 Flora Drive  #08-15",1,84,"Strata",1078400,"-",12838,1193,"05-JUN-2020","Condominium","99 Yrs From 08/03/2018","Uncompleted","New Sale","Private","17","50","506854","East Region","Pasir Ris","Singapore","Singapore"
"3603","THE JOVELL","23 Flora Drive  #06-41",1,63,"Strata",860200,"-",13654,1268,"05-JUN-2020","Condominium","99 Yrs From 08/03/2018","Uncompleted","New Sale","HDB","17","50","506762","East Region","Pasir Ris","Singapore","Singapore"
"3604","THE TAPESTRY","55 Tampines Street 86  #04-23",1,164,"Strata",2184480,"-",13320,1237,"05-JUN-2020","Condominium","99 Yrs From 31/07/2017","Uncompleted","New Sale","N.A","18","52","528541","East Region","Tampines","Singapore","Singapore"
"3605","JADESCAPE","4 Shunfu Road  #23-14",1,49,"Strata",946000,"-",19306,1794,"05-JUN-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575743","Central Region","Bishan","Singapore","Singapore"
"3606","ARC AT TAMPINES","3 Tampines Avenue 8  #07-01",1,120,"Strata",1140000,"-",9500,883,"05-JUN-2020","Executive Condominium","99 Yrs From 22/02/2011","2014","Resale","HDB","18","52","529595","East Region","Tampines","Singapore","Singapore"
"3607","ROYALGREEN","6A Anamalai Avenue  #02-48",1,91,"Strata",2648000,"-",29099,2703,"04-JUN-2020","Condominium","Freehold","Uncompleted","New Sale","N.A","10","27","279995","Central Region","Bukit Timah","Singapore","Singapore"
"3608","SIMS URBAN OASIS","2 Sims Drive  #02-05",1,41,"Strata",688000,"-",16780,1559,"04-JUN-2020","Condominium","99 Yrs From 29/07/2014","2017","Resale","HDB","14","38","387386","Central Region","Geylang","Singapore","Singapore"
"3609","REFLECTIONS AT KEPPEL BAY","5 Keppel Bay View  #07-22",1,172,"Strata",2550000,"-",14826,1377,"04-JUN-2020","Condominium","99 Yrs From 15/03/2006","2011","Resale","Private","04","09","098404","Central Region","Bukit Merah","Singapore","Singapore"
"3610","QUEENS PEAK","3 Dundee Road  #31-17",1,79,"Strata",1543000,"-",19532,1815,"04-JUN-2020","Condominium","99 Yrs From 28/09/2015","2020","New Sale","Private","03","14","149457","Central Region","Queenstown","Singapore","Singapore"
"3611","GRANDEUR PARK RESIDENCES","5 Bedok South Avenue 3  #11-26",1,135,"Strata",2232000,"-",16533,1536,"04-JUN-2020","Condominium","99 Yrs From 25/05/2016","Uncompleted","New Sale","Private","16","46","465463","East Region","Bedok","Singapore","Singapore"
"3612","ARC AT TAMPINES","5 Tampines Avenue 8  #01-08",1,121,"Strata",950000,"-",7851,729,"04-JUN-2020","Executive Condominium","99 Yrs From 22/02/2011","2014","Resale","HDB","18","52","529596","East Region","Tampines","Singapore","Singapore"
"3613","BALLOTA PARK CONDOMINIUM","150 Mariam Way  #07-12",1,99,"Strata",820000,"-",8283,769,"04-JUN-2020","Condominium","Freehold","2000","Resale","HDB","17","50","507079","East Region","Pasir Ris","Singapore","Singapore"
"3614","JADESCAPE","16 Shunfu Road  #04-57",1,49,"Strata",888000,"-",18122,1684,"04-JUN-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575749","Central Region","Bishan","Singapore","Singapore"
"3615","PARC CANBERRA","11 Canberra Walk  #10-22",1,88,"Strata",1051000,"-",11943,1110,"04-JUN-2020","Executive Condominium","99 Yrs From 10/12/2018","Uncompleted","New Sale","Private","27","75","756946","North Region","Sembawang","Singapore","Singapore"
"3616","KING'S MANSION","12 Amber Gardens  #04-07",1,168,"Strata",2480000,"-",14762,1371,"04-JUN-2020","Condominium","Freehold","1982","Resale","HDB","15","43","439959","Central Region","Marine Parade","Singapore","Singapore"
"3617","THE PANORAMA","12 Ang Mo Kio Avenue 2  #11-13",1,65,"Strata",978000,"-",15046,1398,"04-JUN-2020","Condominium","99 Yrs From 08/04/2013","2017","Resale","HDB","20","56","567697","North East Region","Ang Mo Kio","Singapore","Singapore"
"3618","RIVERPARC RESIDENCE","98 Punggol Drive  #05-20",1,100,"Strata",935000,"-",9350,869,"04-JUN-2020","Executive Condominium","99 Yrs From 27/12/2010","2014","Resale","Private","19","82","828798","North East Region","Punggol","Singapore","Singapore"
"3619","ROYALGREEN","6B Anamalai Avenue  #02-55",1,62,"Strata",1799000,"-",29016,2696,"03-JUN-2020","Condominium","Freehold","Uncompleted","New Sale","N.A","10","27","279996","Central Region","Bukit Timah","Singapore","Singapore"
"3620","THE TAPESTRY","61 Tampines Street 86  #03-42",1,56,"Strata",853620,"-",15243,1416,"03-JUN-2020","Condominium","99 Yrs From 31/07/2017","Uncompleted","New Sale","N.A","18","52","528510","East Region","Tampines","Singapore","Singapore"
"3621","KOVAN MELODY","23 Kovan Road  #16-18",1,131,"Strata",1800000,"-",13740,1277,"03-JUN-2020","Condominium","99 Yrs From 20/01/2004","2006","Resale","Private","19","54","548193","North East Region","Hougang","Singapore","Singapore"
"3622","TREASURE AT TAMPINES","25 Tampines Lane  #03-83",1,63,"Strata",988000,"-",15683,1457,"03-JUN-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","Private","18","52","528473","East Region","Tampines","Singapore","Singapore"
"3623","ORCHID PARK CONDOMINIUM","89 Yishun Street 81  #02-11",1,106,"Strata",755000,"-",7123,662,"03-JUN-2020","Condominium","99 Yrs From 01/09/1991","1994","Resale","HDB","27","76","768449","North Region","Yishun","Singapore","Singapore"
"3624","PARC CANBERRA","5 Canberra Walk  #03-12",1,93,"Strata",1103000,"-",11860,1102,"03-JUN-2020","Executive Condominium","99 Yrs From 10/12/2018","Uncompleted","New Sale","Private","27","75","757065","North Region","Sembawang","Singapore","Singapore"
"3625","WEST BAY CONDOMINIUM","56 West Coast Crescent  #05-04",1,79,"Strata",720000,"-",9114,847,"03-JUN-2020","Condominium","99 Yrs From 01/03/1991","1993","Resale","Private","05","12","128038","West Region","Clementi","Singapore","Singapore"
"3626","TREASURE AT TAMPINES","49 Tampines Lane  #05-164",1,63,"Strata",961000,"-",15254,1417,"03-JUN-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","HDB","18","52","528461","East Region","Tampines","Singapore","Singapore"
"3627","PRINCIPAL GARDEN","95 Prince Charles Crescent  #12-15",1,75,"Strata",1518000,"-",20240,1880,"03-JUN-2020","Condominium","99 Yrs From 21/07/2014","2018","Resale","HDB","03","15","159027","Central Region","Bukit Merah","Singapore","Singapore"
"3628","PIERMONT GRAND","30 Sumang Walk  #06-17",1,124,"Strata",1429650,"-",11529,1071,"02-JUN-2020","Executive Condominium","99 Yrs From 04/06/2018","Uncompleted","New Sale","HDB","19","82","828620","North East Region","Punggol","Singapore","Singapore"
"3629","JADESCAPE","8 Shunfu Road  #09-31",1,71,"Strata",1303700,"-",18362,1706,"02-JUN-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","HDB","20","57","575745","Central Region","Bishan","Singapore","Singapore"
"3630","TREASURE AT TAMPINES","51 Tampines Lane  #05-177",1,63,"Strata",907000,"-",14397,1337,"02-JUN-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528460","East Region","Tampines","Singapore","Singapore"
"3631","DOVER PARKVIEW","30 Dover Rise  #09-03",1,87,"Strata",1058000,"-",12161,1130,"02-JUN-2020","Condominium","99 Yrs From 01/12/1993","1997","Resale","HDB","05","13","138687","Central Region","Queenstown","Singapore","Singapore"
"3632","THE TAPESTRY","55 Tampines Street 86  #15-25",1,102,"Strata",1327590,"-",13016,1209,"02-JUN-2020","Condominium","99 Yrs From 31/07/2017","Uncompleted","New Sale","N.A","18","52","528541","East Region","Tampines","Singapore","Singapore"
"3633","JADESCAPE","8 Shunfu Road  #11-31",1,71,"Strata",1310000,"-",18451,1714,"02-JUN-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","Private","20","57","575745","Central Region","Bishan","Singapore","Singapore"
"3634","TANGLIN VIEW","152 Prince Charles Crescent  #20-12",1,187,"Strata",2680000,"-",14332,1331,"02-JUN-2020","Condominium","99 Yrs From 17/05/1997","2001","Resale","Private","03","15","159013","Central Region","Bukit Merah","Singapore","Singapore"
"3635","THE CANOPY","83 Yishun Avenue 11  #07-27",1,81,"Strata",730000,"-",9012,837,"02-JUN-2020","Executive Condominium","99 Yrs From 14/06/2010","2014","Resale","HDB","27","76","768864","North Region","Yishun","Singapore","Singapore"
"3636","JADESCAPE","16 Shunfu Road  #01-57",1,49,"Strata",882000,"-",18000,1672,"02-JUN-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575749","Central Region","Bishan","Singapore","Singapore"
"3637","TREASURE AT TAMPINES","39 Tampines Lane  #11-129",1,63,"Strata",941000,"-",14937,1388,"02-JUN-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","HDB","18","52","528466","East Region","Tampines","Singapore","Singapore"
"3638","THE MINTON","14A Hougang Street 11  #05-73",1,91,"Strata",980000,"-",10769,1000,"02-JUN-2020","Condominium","99 Yrs From 27/07/2007","2013","Resale","HDB","19","53","534070","North East Region","Hougang","Singapore","Singapore"
"3639","THE FLORAVALE","244 Westwood Avenue  #12-55",1,122,"Strata",855000,"-",7008,651,"02-JUN-2020","Executive Condominium","99 Yrs From 16/12/1997","2000","Resale","HDB","22","64","648366","West Region","Jurong West","Singapore","Singapore"
"3640","NICON GARDENS","63A Choa Chu Kang Road",1,185,"Strata",1280000,"-",6919,643,"01-JUN-2020","Condominium","99 Yrs From 21/10/1981","1984","Resale","HDB","23","68","689398","West Region","Bukit Batok","Singapore","Singapore"
"3641","TREASURE AT TAMPINES","43 Tampines Lane  #04-144",1,55,"Strata",850000,"-",15455,1436,"01-JUN-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528464","East Region","Tampines","Singapore","Singapore"
"3642","THE TAPESTRY","61 Tampines Street 86  #10-47",1,56,"Strata",877400,"-",15668,1456,"01-JUN-2020","Condominium","99 Yrs From 31/07/2017","Uncompleted","New Sale","N.A","18","52","528510","East Region","Tampines","Singapore","Singapore"
