,Unnamed: 0,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,unit_price,full_address,gcode,lat,long
59,60,2020-01,ANG MO KIO,4 ROOM,229,ANG MO KIO AVE 3,04 TO 06,91.0,New Generation,1978,57 years 01 month,338000.0,3714.2857142857106,229 ANG MO KIO AVE 3 Singapore,"Ang Mo Kio Avenue 3, Serangoon, Singapore, Central, 550102, Singapore",1.3712896,103.8716549
60,61,2020-01,ANG MO KIO,4 ROOM,427,ANG MO KIO AVE 3,04 TO 06,92.0,New Generation,1978,57 years 09 months,390000.0,4239.13043478261,427 ANG MO KIO AVE 3 Singapore,"Ang Mo Kio Avenue 3, Serangoon, Singapore, Central, 550102, Singapore",1.3712896,103.8716549
61,62,2020-01,ANG MO KIO,4 ROOM,229,ANG MO KIO AVE 3,07 TO 09,91.0,New Generation,1978,57 years,383000.0,4208.79120879121,229 ANG MO KIO AVE 3 Singapore,"Ang Mo Kio Avenue 3, Serangoon, Singapore, Central, 550102, Singapore",1.3712896,103.8716549
62,63,2020-01,ANG MO KIO,4 ROOM,173,ANG MO KIO AVE 4,10 TO 12,91.0,New Generation,1982,61 years 01 month,385000.0,4230.76923076923,173 ANG MO KIO AVE 4 Singapore,"Ang Mo Kio Avenue 4, Ang Mo Kio, Singapore, Central, 568991, Singapore",1.3704366,103.8366841
63,64,2020-01,ANG MO KIO,4 ROOM,179,ANG MO KIO AVE 5,01 TO 03,91.0,New Generation,1981,60 years 04 months,348000.0,3824.1758241758203,179 ANG MO KIO AVE 5 Singapore,"Ang Mo Kio Avenue 5, Serangoon, Singapore, Central, 569869, Singapore",1.3768122,103.859689
64,65,2020-01,ANG MO KIO,4 ROOM,179,ANG MO KIO AVE 5,01 TO 03,91.0,New Generation,1981,60 years 03 months,350000.0,3846.1538461538503,179 ANG MO KIO AVE 5 Singapore,"Ang Mo Kio Avenue 5, Serangoon, Singapore, Central, 569869, Singapore",1.3768122,103.859689
65,66,2020-01,ANG MO KIO,4 ROOM,700B,ANG MO KIO AVE 6,04 TO 06,90.0,Model A,2003,82 years 08 months,590800.0,6564.44444444444,700B ANG MO KIO AVE 6 Singapore,"700B, Ang Mo Kio Avenue 6, Ang Mo Kio, Singapore, Central, 561700, Singapore",1.3694566,103.84627600671641
66,67,2020-01,ANG MO KIO,4 ROOM,507,ANG MO KIO AVE 8,01 TO 03,91.0,New Generation,1980,59 years 06 months,378000.0,4153.84615384615,507 ANG MO KIO AVE 8 Singapore,"Ang Mo Kio Avenue 8, Ang Mo Kio, Singapore, Central, 567746, Singapore",1.3766391,103.8476597
67,68,2020-01,ANG MO KIO,4 ROOM,625,ANG MO KIO AVE 9,10 TO 12,92.0,New Generation,1980,59 years 08 months,425000.0,4619.5652173913,625 ANG MO KIO AVE 9 Singapore,"Ang Mo Kio Avenue 9, Ang Mo Kio, Singapore, Central, 560622, Singapore",1.3831634,103.8400383
68,69,2020-01,ANG MO KIO,4 ROOM,622,ANG MO KIO AVE 9,10 TO 12,100.0,New Generation,1980,59 years 08 months,396000.0,3960.0,622 ANG MO KIO AVE 9 Singapore,"622, Ang Mo Kio Avenue 9, Ang Mo Kio, Singapore, Central, 560622, Singapore",1.3817737499999998,103.83979812792043
69,70,2020-01,ANG MO KIO,4 ROOM,353,ANG MO KIO ST 32,07 TO 09,90.0,Model A,2001,80 years 08 months,510000.0,5666.66666666667,353 ANG MO KIO ST 32 Singapore,"353, Ang Mo Kio Street 32, Ang Mo Kio, Singapore, Central, 560353, Singapore",1.3640154500000001,103.8516217737573
70,71,2020-01,ANG MO KIO,4 ROOM,352,ANG MO KIO ST 32,16 TO 18,95.0,Model A,2001,80 years 09 months,582000.0,6126.31578947368,352 ANG MO KIO ST 32 Singapore,"352, Ang Mo Kio Street 32, Ang Mo Kio, Singapore, Central, 560352, Singapore",1.3643903000000002,103.85089539566314
71,72,2020-01,ANG MO KIO,4 ROOM,588B,ANG MO KIO ST 52,13 TO 15,90.0,DBSS,2011,90 years 07 months,639000.0,7100.0,588B ANG MO KIO ST 52 Singapore,"Ang Mo Kio Street 52, Ang Mo Kio, Singapore, Central, 560525, Singapore",1.3725887,103.8531825
72,73,2020-01,ANG MO KIO,4 ROOM,588C,ANG MO KIO ST 52,16 TO 18,90.0,DBSS,2011,90 years 07 months,723888.0,8043.2,588C ANG MO KIO ST 52 Singapore,"Ang Mo Kio Street 52, Ang Mo Kio, Singapore, Central, 560525, Singapore",1.3725887,103.8531825
73,74,2020-01,ANG MO KIO,5 ROOM,439,ANG MO KIO AVE 10,01 TO 03,119.0,Improved,1979,58 years 01 month,485000.0,4075.6302521008397,439 ANG MO KIO AVE 10 Singapore,"Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 561455, Singapore",1.3692468,103.856782
74,75,2020-01,ANG MO KIO,5 ROOM,401,ANG MO KIO AVE 10,01 TO 03,119.0,Improved,1979,58 years 04 months,465000.0,3907.56302521008,401 ANG MO KIO AVE 10 Singapore,"Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 561455, Singapore",1.3692468,103.856782
75,76,2020-01,ANG MO KIO,5 ROOM,439,ANG MO KIO AVE 10,10 TO 12,119.0,Improved,1979,58 years,535000.0,4495.79831932773,439 ANG MO KIO AVE 10 Singapore,"Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 561455, Singapore",1.3692468,103.856782
76,77,2020-01,ANG MO KIO,5 ROOM,458,ANG MO KIO AVE 10,16 TO 18,120.0,Improved,1980,59 years,580000.0,4833.333333333329,458 ANG MO KIO AVE 10 Singapore,"Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 561455, Singapore",1.3692468,103.856782
77,78,2020-01,ANG MO KIO,5 ROOM,101,ANG MO KIO AVE 3,07 TO 09,117.0,Standard,1978,57 years 01 month,450000.0,3846.1538461538503,101 ANG MO KIO AVE 3 Singapore,"Ang Mo Kio Avenue 3, Serangoon, Singapore, Central, 550102, Singapore",1.3712896,103.8716549
78,79,2020-01,ANG MO KIO,5 ROOM,423,ANG MO KIO AVE 3,01 TO 03,133.0,Improved,1993,72 years 03 months,700000.0,5263.15789473684,423 ANG MO KIO AVE 3 Singapore,"Ang Mo Kio Avenue 3, Serangoon, Singapore, Central, 550102, Singapore",1.3712896,103.8716549
79,80,2020-01,ANG MO KIO,5 ROOM,501,ANG MO KIO AVE 5,10 TO 12,121.0,Improved,1981,60 years,530000.0,4380.1652892562,501 ANG MO KIO AVE 5 Singapore,"501, Ang Mo Kio Avenue 5, Ang Mo Kio, Singapore, Central, 567746, Singapore",1.37597775,103.84886207194951
80,81,2020-01,ANG MO KIO,5 ROOM,520,ANG MO KIO AVE 5,10 TO 12,118.0,Improved,1980,59 years 07 months,645000.0,5466.10169491525,520 ANG MO KIO AVE 5 Singapore,"Ang Mo Kio Avenue 5, Serangoon, Singapore, Central, 569869, Singapore",1.3768122,103.859689
81,82,2020-01,ANG MO KIO,5 ROOM,710,ANG MO KIO AVE 8,16 TO 18,117.0,Improved,1980,59 years 10 months,630000.0,5384.615384615379,710 ANG MO KIO AVE 8 Singapore,"Ang Mo Kio Avenue 8, Ang Mo Kio, Singapore, Central, 560710, Singapore",1.3703146,103.8489248
82,83,2020-01,ANG MO KIO,5 ROOM,596A,ANG MO KIO ST 52,28 TO 30,110.0,Improved,2002,81 years 11 months,789000.0,7172.72727272727,596A ANG MO KIO ST 52 Singapore,"Ang Mo Kio Street 52, Ang Mo Kio, Singapore, Central, 560525, Singapore",1.3725887,103.8531825
83,84,2020-01,ANG MO KIO,5 ROOM,588B,ANG MO KIO ST 52,07 TO 09,120.0,DBSS,2011,90 years 07 months,840000.0,7000.0,588B ANG MO KIO ST 52 Singapore,"Ang Mo Kio Street 52, Ang Mo Kio, Singapore, Central, 560525, Singapore",1.3725887,103.8531825
84,85,2020-01,ANG MO KIO,5 ROOM,588A,ANG MO KIO ST 52,10 TO 12,117.0,DBSS,2011,90 years 07 months,819800.0,7006.83760683761,588A ANG MO KIO ST 52 Singapore,"Ang Mo Kio Street 52, Ang Mo Kio, Singapore, Central, 560525, Singapore",1.3725887,103.8531825
85,86,2020-01,ANG MO KIO,EXECUTIVE,576,ANG MO KIO AVE 10,07 TO 09,163.0,Adjoined flat,1980,59 years,770000.0,4723.9263803681,576 ANG MO KIO AVE 10 Singapore,"Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 561455, Singapore",1.3692468,103.856782
86,87,2020-01,ANG MO KIO,EXECUTIVE,623,ANG MO KIO AVE 9,07 TO 09,150.0,Adjoined flat,1980,59 years 08 months,623000.0,4153.333333333329,623 ANG MO KIO AVE 9 Singapore,"Ang Mo Kio Avenue 9, Ang Mo Kio, Singapore, Central, 560622, Singapore",1.3831634,103.8400383
